Domain,IPAddr,City,State,Country
Filename: dineoncampus.com.txt, IP: 104.26.8.15, Location: San Francisco, California, US
Filename: dineoncampus.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: dineoncampus.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: dineoncampus.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: dineoncampus.com.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: dineoncampus.com.txt, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Filename: dineoncampus.com.txt, IP: 199.109.107.101, Location: New York City, New York, US
Filename: dineoncampus.com.txt, IP: 199.109.107.202, Location: Secaucus, New Jersey, US
Filename: dineoncampus.com.txt, IP: 206.82.104.31, Location: New York City, New York, US
Filename: dineoncampus.com.txt, IP: 172.70.108.2, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 142.251.40.110, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: docs.google.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: docs.google.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: docs.google.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: docs.google.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: docs.google.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: docs.google.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 72.14.202.166, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 142.251.65.100, Location: Linden, New Jersey, US
Filename: docs.google.com.txt, IP: 192.178.106.156, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 142.251.69.66, Location: Elizabeth, New Jersey, US
Filename: docs.google.com.txt, IP: 142.251.69.56, Location: Chelsea, New York, US
Filename: docs.google.com.txt, IP: 192.178.108.21, Location: New York City, New York, US
Filename: docs.google.com.txt, IP: 216.239.62.25, Location: Bayonne, New Jersey, US
Filename: pandas.pydata.org.txt, IP: 104.26.0.204, Location: San Francisco, California, US
Filename: pandas.pydata.org.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: pandas.pydata.org.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: pandas.pydata.org.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: pandas.pydata.org.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: pandas.pydata.org.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: pandas.pydata.org.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: pandas.pydata.org.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: pandas.pydata.org.txt, IP: 198.32.160.195, Location: New York City, New York, US
Filename: pandas.pydata.org.txt, IP: 172.70.228.2, Location: New York City, New York, US
Filename: gmail.com.txt, IP: 142.251.40.229, Location: New York City, New York, US
Filename: gmail.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: gmail.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: gmail.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: gmail.com.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: gmail.com.txt, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Filename: gmail.com.txt, IP: 199.109.107.101, Location: New York City, New York, US
Filename: gmail.com.txt, IP: 199.109.107.202, Location: Secaucus, New Jersey, US
Filename: gmail.com.txt, IP: 199.109.114.18, Location: New York City, New York, US
Filename: gmail.com.txt, IP: 142.251.65.92, Location: Newark, New Jersey, US
Filename: gmail.com.txt, IP: 108.170.236.89, Location: Newark, New Jersey, US
Filename: buff163.com.txt, IP: 69.16.230.226, Location: Lansing, Michigan, US
Filename: buff163.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: buff163.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: buff163.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: buff163.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: buff163.com.txt, IP: 154.24.3.165, Location: North Syracuse, New York, US
Filename: buff163.com.txt, IP: 154.54.87.237, Location: Albany, New York, US
Filename: buff163.com.txt, IP: 154.54.90.101, Location: Secaucus, New Jersey, US
Filename: buff163.com.txt, IP: 154.54.40.110, Location: Ashburn, Virginia, US
Filename: buff163.com.txt, IP: 154.54.30.66, Location: Ashburn, Virginia, US
Filename: buff163.com.txt, IP: 38.88.214.15, Location: Ashburn, Virginia, US
Filename: buff163.com.txt, IP: 209.59.157.16, Location: Lansing, Michigan, US
Filename: buff163.com.txt, IP: 209.59.157.243, Location: Lansing, Michigan, US
Filename: x.com.txt, IP: 104.244.42.1, Location: San Francisco, California, US
Filename: x.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: x.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: x.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: x.com.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: x.com.txt, IP: 38.140.35.201, Location: New York City, New York, US
Filename: x.com.txt, IP: 154.54.84.213, Location: New York City, New York, US
Filename: x.com.txt, IP: 154.54.0.142, Location: New York City, New York, US
Filename: x.com.txt, IP: 63.223.40.2, Location: Ashburn, Virginia, US
Filename: x.com.txt, IP: 63.218.94.250, Location: Sterling, Virginia, US
Filename: www.notion.so.txt, IP: 104.18.39.102, Location: San Francisco, California, US
Filename: www.notion.so.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: www.notion.so.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: www.notion.so.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: www.notion.so.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: www.notion.so.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: www.notion.so.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: www.notion.so.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: www.notion.so.txt, IP: 198.32.160.195, Location: New York City, New York, US
Filename: www.notion.so.txt, IP: 162.158.156.3, Location: New York City, New York, US
Filename: google.com.txt, IP: 142.250.64.78, Location: New York City, New York, US
Filename: google.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: google.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: google.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: google.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: google.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: google.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: google.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: google.com.txt, IP: 72.14.202.166, Location: New York City, New York, US
Filename: google.com.txt, IP: 142.251.60.226, Location: Linden, New Jersey, US
Filename: google.com.txt, IP: 192.178.107.52, Location: New York City, New York, US
Filename: google.com.txt, IP: 209.85.254.129, Location: Newark, New Jersey, US
Filename: google.com.txt, IP: 216.239.62.194, Location: New York City, New York, US
Filename: google.com.txt, IP: 192.178.106.157, Location: Rahway, New Jersey, US
Filename: google.com.txt, IP: 142.250.46.195, Location: Jersey City, New Jersey, US
Filename: portal.colgate.edu.txt, IP: 149.43.134.29, Location: Hamilton, New York, US
Filename: portal.colgate.edu.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: portal.colgate.edu.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: portal.colgate.edu.txt, IP: 10.9.52.20, Location: Unknown, Unknown, Unknown
Filename: portal.colgate.edu.txt, IP: 10.9.53.103, Location: Unknown, Unknown, Unknown
Filename: di.se.txt, IP: 34.117.105.189, Location: Kansas City, Missouri, US
Filename: di.se.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: di.se.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: di.se.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: di.se.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: di.se.txt, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Filename: di.se.txt, IP: 199.109.107.101, Location: New York City, New York, US
Filename: di.se.txt, IP: 199.109.107.202, Location: Secaucus, New Jersey, US
Filename: di.se.txt, IP: 199.109.114.18, Location: New York City, New York, US
Filename: di.se.txt, IP: 142.250.63.91, Location: New York City, New York, US
Filename: di.se.txt, IP: 142.250.224.245, Location: Bayonne, New Jersey, US
Filename: di.se.txt, IP: 189.105.117.34, Location: Rio de Janeiro, Rio de Janeiro, BR
Filename: open.spotify.com.txt, IP: 23.44.133.185, Location: Piscataway, New Jersey, US
Filename: open.spotify.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: open.spotify.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: open.spotify.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: open.spotify.com.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: open.spotify.com.txt, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Filename: open.spotify.com.txt, IP: 199.109.107.101, Location: New York City, New York, US
Filename: open.spotify.com.txt, IP: 199.109.107.202, Location: Secaucus, New Jersey, US
Filename: open.spotify.com.txt, IP: 206.82.104.62, Location: Astoria, New York, US
Filename: github.com.txt, IP: 140.82.113.4, Location: South Riding, Virginia, US
Filename: github.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: github.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: github.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: github.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: github.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: github.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: github.com.txt, IP: 199.109.107.206, Location: New York City, New York, US
Filename: github.com.txt, IP: 199.109.107.201, Location: Bayonne, New Jersey, US
Filename: github.com.txt, IP: 199.109.107.186, Location: New York City, New York, US
Filename: github.com.txt, IP: 199.109.107.182, Location: New York City, New York, US
Filename: github.com.txt, IP: 206.126.237.205, Location: Washington, Washington D.C., US
Filename: youtube.com.txt, IP: 142.250.81.238, Location: New York City, New York, US
Filename: youtube.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: youtube.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: youtube.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: youtube.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: youtube.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: youtube.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: youtube.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: youtube.com.txt, IP: 72.14.202.166, Location: New York City, New York, US
Filename: youtube.com.txt, IP: 216.239.43.62, Location: Chelsea, New York, US
Filename: youtube.com.txt, IP: 142.251.60.235, Location: Elizabeth, New Jersey, US
Filename: amazon.com.txt, IP: 54.239.28.85, Location: Ashburn, Virginia, US
Filename: amazon.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: amazon.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: amazon.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: amazon.com.txt, IP: 172.16.1.11, Location: Unknown, Unknown, Unknown
Filename: amazon.com.txt, IP: 199.109.108.41, Location: Rock Hall, Maryland, US
Filename: amazon.com.txt, IP: 199.109.107.101, Location: New York City, New York, US
Filename: amazon.com.txt, IP: 199.109.107.202, Location: Secaucus, New Jersey, US
Filename: amazon.com.txt, IP: 206.82.104.99, Location: Jersey City, New Jersey, US
Filename: amazon.com.txt, IP: 52.93.51.33, Location: New York City, New York, US
Filename: amazon.com.txt, IP: 52.93.1.185, Location: New York City, New York, US
Filename: amazon.com.txt, IP: 52.93.1.40, Location: New York City, New York, US
Filename: linkedin.com.txt, IP: 13.107.42.14, Location: Redmond, Washington, US
Filename: linkedin.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: linkedin.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: linkedin.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: linkedin.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: linkedin.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: linkedin.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: linkedin.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: linkedin.com.txt, IP: 104.44.14.141, Location: New York City, New York, US
Filename: drive.google.com.txt, IP: 142.251.40.174, Location: New York City, New York, US
Filename: drive.google.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: drive.google.com.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: drive.google.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: drive.google.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: drive.google.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: drive.google.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: drive.google.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: drive.google.com.txt, IP: 72.14.202.166, Location: New York City, New York, US
Filename: drive.google.com.txt, IP: 216.239.43.154, Location: Bloomfield, New York, US
Filename: drive.google.com.txt, IP: 209.85.253.143, Location: Bayonne, New Jersey, US
Filename: colgate.edu.txt, IP: 149.43.129.1, Location: Hamilton, New York, US
Filename: colgate.edu.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: colgate.edu.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: colgate.edu.txt, IP: 10.9.52.20, Location: Unknown, Unknown, Unknown
Filename: colgate.edu.txt, IP: 10.9.53.203, Location: Unknown, Unknown, Unknown
Filename: instagram.com.txt, IP: 31.13.71.174, Location: Secaucus, New Jersey, US
Filename: instagram.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: instagram.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: instagram.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: instagram.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: instagram.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: instagram.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: instagram.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: instagram.com.txt, IP: 157.240.69.222, Location: New York City, New York, US
Filename: instagram.com.txt, IP: 157.240.103.116, Location: New York City, New York, US
Filename: instagram.com.txt, IP: 129.134.62.112, Location: Hoboken, New Jersey, US
Filename: instagram.com.txt, IP: 129.134.89.139, Location: Secaucus, New Jersey, US
Filename: chat.openai.com.txt, IP: 104.18.37.228, Location: San Francisco, California, US
Filename: chat.openai.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: chat.openai.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: chat.openai.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: chat.openai.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: chat.openai.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: chat.openai.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: chat.openai.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: chat.openai.com.txt, IP: 198.32.160.195, Location: New York City, New York, US
Filename: chat.openai.com.txt, IP: 199.27.132.36, Location: New York City, New York, US
Filename: netflix.com.txt, IP: 54.160.93.182, Location: Ashburn, Virginia, US
Filename: netflix.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: netflix.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: netflix.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: netflix.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: netflix.com.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: netflix.com.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: netflix.com.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: netflix.com.txt, IP: 198.32.160.64, Location: Hoboken, New Jersey, US
Filename: moodle.colgate.edu.txt, IP: 54.89.189.110, Location: Ashburn, Virginia, US
Filename: moodle.colgate.edu.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 149.43.80.2, Location: Hamilton, New York, US
Filename: moodle.colgate.edu.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: moodle.colgate.edu.txt, IP: 199.109.109.57, Location: Rock Hall, Maryland, US
Filename: moodle.colgate.edu.txt, IP: 199.109.107.198, Location: Syracuse, New York, US
Filename: moodle.colgate.edu.txt, IP: 199.109.107.70, Location: New York City, New York, US
Filename: moodle.colgate.edu.txt, IP: 198.32.160.64, Location: Hoboken, New Jersey, US
Filename: gradescope.com.txt, IP: 35.161.191.170, Location: Boardman, Oregon, US
Filename: gradescope.com.txt, IP: 172.17.0.1, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 149.43.80.3, Location: Hamilton, New York, US
Filename: gradescope.com.txt, IP: 10.9.52.10, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 172.16.1.12, Location: Unknown, Unknown, Unknown
Filename: gradescope.com.txt, IP: 154.24.3.165, Location: North Syracuse, New York, US
Filename: gradescope.com.txt, IP: 154.54.87.237, Location: Albany, New York, US
Filename: gradescope.com.txt, IP: 154.54.29.173, Location: Brook Park, Ohio, US
Filename: gradescope.com.txt, IP: 154.54.7.129, Location: Chicago, Illinois, US
Filename: gradescope.com.txt, IP: 154.54.44.169, Location: Kansas City, Missouri, US
Filename: gradescope.com.txt, IP: 154.54.31.89, Location: Denver, Colorado, US
Filename: gradescope.com.txt, IP: 154.54.42.97, Location: Salt Lake City, Utah, US
Filename: gradescope.com.txt, IP: 154.54.44.141, Location: San Francisco, California, US
Filename: gradescope.com.txt, IP: 154.54.43.14, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 38.88.224.186, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 52.93.47.133, Location: San Jose, California, US
Filename: gradescope.com.txt, IP: 150.222.97.85, Location: San Jose, California, US
